Axis_0
MFREQ, GRAWX_rms, GRAWY_rms, GRAWZ_rms, GRAWX_std, GRAWY_std, GRAWZ_std,GRAWX,GRAWY,GRAWZ
91300, 5.535831, 0.3865354, 0.6061534, 0.5081978, 0.2087596, 0.1099422, 2.297295, 0.5856235, -0.7707568
91400, 5.483507, 0.1733526, 0.6084598, 0.4833037, 0.1773195, 0.1169709, 2.291271, 0.37671, -0.7712182
91500, 5.47104, 0.08732364, 0.5954356, 0.4615309, 0.1666368, 0.1123315, 2.293039, 0.2440406, -0.7634246
91600, 5.500978, 0.07220678, 0.6061873, 0.4118999, 0.1756454, 0.1242424, 2.308964, 0.2033605, -0.7686034
91700, 5.502784, 0.06234173, 0.5970748, 0.3936346, 0.1628477, 0.1117028, 2.312539, 0.1892679, -0.7645896
91800, 5.416203, 0.05605848, 0.6007316, 0.370901, 0.1692724, 0.1131212, 2.297528, 0.1655456, -0.7667693
91900, 5.486306, 0.05604978, 0.6058584, 0.3221458, 0.168957, 0.1111333, 2.320028, 0.1658413, -0.7703946
92000, 5.64447, 0.09264006, 0.6059185, 0.2229912, 0.1892659, 0.1151058, 2.365321, 0.2383663, -0.7698501
92100, 5.672892, 0.1605907, 0.6125981, 0.2535614, 0.1685279, 0.113638, 2.368248, 0.3635781, -0.774393
92200, 5.712368, 0.2698278, 0.633469, 0.3152739, 0.1694395, 0.1226177, 2.369171, 0.4910378, -0.7864057
92300, 7.766188, 0.4088058, 0.6294093, 0.6751643, 0.1595307, 0.1225968, 2.703764, 0.6191573, -0.7838235
92400, 406.0137, 0.7266696, 0.6572848, 4.898774, 0.187784, 0.1231807, 19.54522, 0.8315088, -0.8013185
92500, 3825.94, 1.800772, 0.7271525, 18.70388, 0.2189641, 0.1468913, 58.9585, 1.323944, -0.8399854
92600, 1728.246, 1.323716, 0.6064956, 25.63197, 0.1999167, 0.1410045, 32.72993, 1.133027, -0.7659069
92700, 634.4978, 2.37781, 0.6620545, 20.2664, 0.2056737, 0.1400252, 14.95898, 1.528237, -0.8015282
92800, 5.39137, 3.730197, 0.565385, 0.2937076, 0.2583109, 0.1210445, 2.303282, 1.91402, -0.742114
92900, 94.4899, 61.63798, 0.6646537, 0.6697994, 1.642672, 0.0988263, 9.697488, -7.677214, -0.8092509
Axis_1
MFREQ,GRAWX_rms, GRAWY_rms, GRAWZ_rms, GRAWX_std, GRAWY_std, GRAWZ_std,GRAWX,GRAWY,GRAWZ
87000, 5.631613, 1.107328, 0.5892785, 0.1415005, 0.9362072, 0.1144858, 2.36888, 0.4804627, -0.7590596
87100, 5.635025, 0.8152946, 0.5815026, 0.1482495, 0.7667781, 0.104993, 2.369187, 0.4768081, -0.7553006
87200, 5.620369, 0.6798175, 0.5868582, 0.1242808, 0.6691565, 0.1142322, 2.367472, 0.4817127, -0.757502
87300, 5.639008, 0.6208051, 0.594975, 0.1448081, 0.6233138, 0.1153967, 2.37024, 0.4819596, -0.7626655
87400, 5.601025, 0.5922628, 0.6016073, 0.07014615, 0.5894849, 0.1013066, 2.365609, 0.4947427, -0.7689891
87500, 5.607252, 0.5876279, 0.5885217, 0.1523015, 0.5898817, 0.1128857, 2.363061, 0.4895586, -0.7588007
87600, 5.629619, 0.5404421, 0.5837529, 0.2270576, 0.541069, 0.1150729, 2.361793, 0.4976811, -0.7553219
87700, 5.616138, 0.4922649, 0.5899253, 0.1948003, 0.4976209, 0.1152726, 2.361819, 0.4946094, -0.7593665
87800, 5.613813, 0.5162551, 0.5923836, 0.2027549, 0.5099314, 0.1224097, 2.360657, 0.5061868, -0.7598681
87900, 5.58691, 0.4613609, 0.5883435, 0.1910047, 0.4697531, 0.1233203, 2.355934, 0.4906047, -0.7570572
88000, 5.663509, 0.4203977, 0.5966496, 0.185588, 0.433109, 0.1154447, 2.372565, 0.4825084, -0.7637553
88100, 5.578257, 0.3470229, 0.588235, 0.1339956, 0.3236376, 0.1151252, 2.358029, 0.4922211, -0.7582752
88200, 5.628697, 0.3446784, 0.5950762, 0.1982518, 0.3242288, 0.1091076, 2.36419, 0.4894426, -0.7636568
88300, 5.588696, 0.3006296, 0.5863832, 0.1639127, 0.239941, 0.1190157, 2.358353, 0.4930091, -0.7564512
88400, 5.603415, 0.3290576, 0.5893795, 0.1462531, 0.2769384, 0.1067244, 2.362631, 0.5023572, -0.7602562
88500, 5.612613, 0.2962142, 0.595544, 0.1197693, 0.251091, 0.09482027, 2.366066, 0.4828742, -0.7658676
88600, 5.636437, 0.2629331, 0.5961283, 0.07400643, 0.1628681, 0.1170435, 2.372964, 0.4862171, -0.7631704
88700, 5.648371, 0.264179, 0.5986984, 0.09251352, 0.1702619, 0.1085641, 2.374829, 0.4849638, -0.766102
88800, 5.626564, 0.2563843, 0.5909688, 0.2178172, 0.1337131, 0.1023389, 2.362016, 0.4883699, -0.7619026
88900, 5.61932, 0.2696961, 0.5940214, 0.09822345, 0.1700981, 0.1198512, 2.368475, 0.4906758, -0.7613521
89000, 5.589162, 0.2659967, 0.5838607, 0.1949239, 0.1457119, 0.1059987, 2.356091, 0.494737, -0.7567199
89100, 5.599282, 0.2587105, 0.5848754, 0.1368791, 0.1552322, 0.105415, 2.362318, 0.4843691, -0.7574715
89200, 5.579571, 0.2668221, 0.5912573, 0.1182851, 0.1587007, 0.1080368, 2.359148, 0.491565, -0.761305
89300, 5.634371, 0.2699839, 0.5914443, 0.1242174, 0.1698999, 0.1107185, 2.37043, 0.4910377, -0.7610425
89400, 5.584146, 0.2633097, 0.5903267, 0.06020728, 0.1703082, 0.112747, 2.362313, 0.4840504, -0.7600098
89500, 5.618473, 0.2678511, 0.5928963, 0.1175045, 0.1520856, 0.1132639, 2.367418, 0.4946929, -0.7616217
89600, 5.618188, 0.2561237, 0.6015534, 0.1753956, 0.1461503, 0.1148139, 2.363773, 0.4845243, -0.7670536
89700, 5.607931, 0.264915, 0.596972, 0.1171326, 0.1391907, 0.1080644, 2.365208, 0.4955209, -0.7650452
89800, 5.548316, 0.2662169, 0.5812914, 0.048431, 0.1701239, 0.113862, 2.354988, 0.4871085, -0.7538745
89900, 5.57066, 0.2645736, 0.5961605, 0.1787096, 0.156345, 0.1020157, 2.353449, 0.4900305, -0.7653452
90000, 5.637693, 0.2622557, 0.597404, 0.2038526, 0.1396733, 0.1203774, 2.365616, 0.4926937, -0.7634876
90100, 5.604176, 0.2601368, 0.6026527, 0.1534757, 0.1529795, 0.1019421, 2.362334, 0.4865533, -0.7695846
90200, 5.573473, 0.2653742, 0.5944768, 0.03115066, 0.1785711, 0.1109256, 2.361026, 0.4832045, -0.7630022
90300, 5.588402, 0.2614768, 0.592063, 0.2325388, 0.1584739, 0.1128321, 2.352515, 0.4861716, -0.7611386
90400, 5.608516, 0.3180898, 0.5847293, 0.2106955, 0.2789722, 0.1096711, 2.35884, 0.4901676, -0.7567704
90500, 5.648469, 0.3504934, 0.5875098, 0.2580889, 0.32701, 0.1002134, 2.362596, 0.4935158, -0.7599126
90600, 5.639619, 0.4090409, 0.5998456, 0.2268633, 0.4045558, 0.111173, 2.363927, 0.4953539, -0.7664765
90700, 5.638542, 0.4746511, 0.5967713, 0.1745235, 0.4558746, 0.1311467, 2.368139, 0.5165553, -0.7612962
90800, 5.625662, 0.4547549, 0.6041948, 0.1500732, 0.4386158, 0.1034808, 2.367095, 0.5122218, -0.7703808
90900, 5.650441, 0.4675527, 0.5984834, 0.2055612, 0.479688, 0.1038023, 2.368161, 0.4872905, -0.7666215
